"","min.cr","CR","MAE","corr.cor"
"1",2,"2",4.3692617499152,0.3
"2",2,"3",5.04833607443418,0.72
"3",2,"4",4.80804889319688,0.84
"4",2,"5",4.18734498199542,0.79
"5",2,"4&5",4.51875452625529,0.72
"6",3,"3",4.16227188760872,0.68
"7",3,"4",5.41733656522907,0.79
"8",3,"5",4.00286624306896,0.77
"9",3,"4&5",4.98594826069237,0.66
"10",4,"4",5.31161726161293,0.77
"11",4,"5",4.74749097639184,0.69
"12",4,"4&5",4.9898785485117,0.62
