"","min.cr","CR","MAE","corr.cor"
"1",2,"2",5.33852742215803,0.23
"2",2,"3",5.22650924876257,0.71
"3",2,"4",5.44259586020594,0.76
"4",2,"5",4.19633790432278,0.79
"5",2,"4&5",4.9443109879969,0.68
"6",3,"3",5.29394614070301,0.76
"7",3,"4",4.74354858875459,0.82
"8",3,"5",3.74847002422982,0.81
"9",3,"4&5",4.44508089587385,0.72
"10",4,"4",4.92513107164792,0.82
"11",4,"5",4.23902606397098,0.81
"12",4,"4&5",4.53886648574415,0.71
