"","min.cr","CR","MAE","corr.cor"
"1",2,"2",4.48939146998263,0.33
"2",2,"3",5.06010936395631,0.71
"3",2,"4",5.15066912939683,0.83
"4",2,"5",3.72397075036455,0.77
"5",2,"4&5",4.66532454968542,0.71
"6",3,"3",5.02873466541045,0.69
"7",3,"4",4.67616270676059,0.81
"8",3,"5",3.6345413467491,0.79
"9",3,"4&5",4.41337337226707,0.69
"10",4,"4",4.77102163301017,0.79
"11",4,"5",3.13805329804532,0.77
"12",4,"4&5",4.2609200740037,0.67
