"","min.cr","CR","MAE"
"1",2,"2",3.24419305461239
"2",2,"3",3.48151353750553
"3",2,"4",4.69369928837454
"4",2,"5",2.66895926323815
"5",2,"4&5",3.94730203636445
"6",3,"3",3.63671201814056
"7",3,"4",4.5718586849618
"8",3,"5",2.76683240721319
"9",3,"4&5",3.75425008925225
"10",4,"4",5.05788679017233
"11",4,"5",3.90706833411243
"12",4,"4&5",4.23164521370958
