"","min.cr","CR","MAE"
"1",2,"2",3.31230888163293
"2",2,"3",3.11320885200551
"3",2,"4",4.65866775547574
"4",2,"5",2.51205948876738
"5",2,"4&5",3.82722905828169
"6",3,"3",3.79026217228463
"7",3,"4",4.96033398311163
"8",3,"5",2.45563298582551
"9",3,"4&5",4.13388603654994
"10",4,"4",5.12261392124759
"11",4,"5",3.8653659707385
"12",4,"4&5",4.3597229409397
