"i","cost","gamma"
1,1.99526231496888,0.0199526231496888
2,1.58489319246111,0.00501187233627272
3,251.188643150958,3.98107170553497e-05
4,2.51188643150958,0.0158489319246111
5,3.16227766016838,0.0125892541179417
6,199.526231496888,3.98107170553497e-05
7,2.51188643150958,0.0199526231496888
8,3.16227766016838,0.0158489319246111
9,19.9526231496888,0.000794328234724282
10,1.25892541179417,0.0158489319246111
11,3.98107170553498,0.01
12,15.8489319246111,0.00251188643150958
13,3.16227766016838,0.0158489319246111
14,3.98107170553498,0.01
15,12.5892541179417,0.00398107170553497
16,1.99526231496888,0.0158489319246111
17,1.99526231496888,0.00794328234724282
18,7.94328234724282,0.00398107170553497
19,6.30957344480194,0.0125892541179417
20,3.16227766016838,0.00794328234724282
21,398.107170553498,0.000199526231496888
22,1.99526231496888,0.0125892541179417
23,2.51188643150958,0.00630957344480194
24,1258.92541179417,7.94328234724282e-05
25,1.99526231496888,0.0125892541179417
26,1.58489319246111,0.00630957344480194
27,79.4328234724282,0.000199526231496888
28,3.98107170553498,0.00398107170553497
29,1.58489319246111,0.00158489319246111
30,19.9526231496888,0.000158489319246111
31,3.98107170553498,0.00501187233627272
32,3.16227766016838,0.000630957344480193
33,12.5892541179417,0.000316227766016838
34,3.98107170553498,0.00398107170553497
35,3.98107170553498,0.00398107170553497
36,31.6227766016838,0.000125892541179417
37,3.98107170553498,0.0316227766016838
38,1,0.0199526231496888
39,3.16227766016838,0.0199526231496888
40,2.51188643150958,0.0316227766016838
41,1,0.0199526231496888
42,3.16227766016838,0.0158489319246111
43,3.16227766016838,0.0158489319246111
44,1.25892541179417,0.0251188643150958
45,0.794328234724282,0.0251188643150958
46,3.16227766016838,0.0316227766016838
47,1.25892541179417,0.0316227766016838
48,6.30957344480194,0.0125892541179417
49,2.51188643150958,0.0316227766016838
50,1,0.0199526231496888
51,3.98107170553498,0.0125892541179417
52,1.99526231496888,0.0316227766016838
53,1.25892541179417,0.0158489319246111
54,3.16227766016838,0.0125892541179417
55,2.51188643150958,0.0398107170553497
56,1.25892541179417,0.0199526231496888
57,3.16227766016838,0.0199526231496888
58,1.58489319246111,0.0316227766016838
59,1,0.0199526231496888
60,3.16227766016838,0.0199526231496888
61,1.58489319246111,0.0398107170553497
62,1,0.0199526231496888
63,3.98107170553498,0.0158489319246111
