"","Female","Male","pct.correct","LCI_0.95","UCI_0.95"
"Female",23,17,57.5,40.8900580426963,72.9570968731137
"Male",19,30,61.2244897959184,46.2385490920229,74.8025517209224
"Overall",NA,NA,59.5505617977528,48.6178347545716,69.8291653330615
