"","min.cr","CR","MAE","corr.cor"
"1",2,"2",4.20177932817505,0.8
"2",2,"3",2.84043811540506,0.81
"3",2,"4",3.88516164775522,0.86
"4",2,"5",2.70801133680138,0.78
"5",2,"4&5",3.64461845116318,0.8
"6",3,"3",3.99879765747582,0.77
"7",3,"4",4.01260634928322,0.84
"8",3,"5",3.50533983172856,0.82
"9",3,"4&5",3.76890586371752,0.82
"10",4,"4",3.74104478197984,0.87
"11",4,"5",3.26839208772545,0.75
"12",4,"4&5",3.63646097453582,0.83
