id,pct.conv
z0018943,0.996589988
z0018944,0.996693578
z0018945,0.997007903
z0023316,0.996641585
z0023317,0.996859441
z0023318,0.996828771
z0023319,0.996601323
z0023321,0.996510141
z0027453,0.996595494
z0027455,0.996742249
z0033888,0.996620366
z0033893,0.99614054
z0033898,0.996757048
z0033906,0.996414294
z0033908,0.996162122
z0041286,0.996409291
z0045921,0.996755882
z0045925,0.996752959
z0045928,0.995605383
z0045931,0.997017599
z0049046,0.996246636
z0049048,0.997085365
z0049050,0.996715716
z0049051,0.996779193
z0049052,0.995028286
z0061425,0.996433874
z0071016,0.996667159
z0075660,0.996651679
z0075663,0.996146879
z0075665,0.996716005
z0075676,0.996680888
z0075677,0.996374556
z0075678,0.996846605
z0091082,0.99665316
z0091085,0.996904236
z0091086,0.996523514
z0091275,0.997124761
z0091276,0.996627479
z0091277,0.996329813
z0091284,0.996765243
z0091285,0.996715943
z0091286,0.996711509
z0092243,0.996953309
z0092256,0.996754256
z0098734,0.996529858
z0098735,0.996901946
z0098736,0.996983519
z0098737,0.996327898
z0098738,0.996272975
z0098740,0.996072496
z0098744,0.996461668
z0098745,0.996829682
z0098746,0.996688579
z0102483,0.996790167
z0102484,0.99659134
z0102485,0.996059533
z0102500,0.995883494
z0123188,0.99566957
z0132631,0.996551688
z0132632,0.996707106
z0132634,0.996673031
z0132639,0.996525562
z0132641,0.996671476
z0132642,0.996414911
z0132658,0.99682059
z0132659,0.996040704
z0132660,0.99660419
z0160208,0.996652317
z0175867,0.996489949
z0175874,0.9967808
z0175876,0.994624079
z0175877,0.995248961
z0178364,0.996141852
z0183541,0.996037101
z0183543,0.996834436
z0183544,0.996516843
z0186431,0.996458179
z0186433,0.997118359
z0186434,0.996876891
z0186435,0.996595824
z0186450,0.996438174
z0187739,0.995881827
z0190863,0.996220727
z0190867,0.99639054
z0196956,0.993397183
z0198374,0.996543137
z0198377,0.996655757
z0198473,0.996325887
z0198474,0.996612855
z0198475,0.996617824
