,type,age.confidence,mean.dev,median.dev,mode.dev,mean.se,median.se,mode.se,cor.age
1,best,2,5.09,2.51,0.93,57.89,6.85,1.56,0.52
2,best,3,4.92,4.04,4.13,42.42,16.34,8.12,0.77
3,best,4,5.61,4.99,2.39,48.38,24.94,11.23,0.82
4,best,5,4.61,4.00,4.24,35.95,16.03,8.04,0.76
5,best,All,5.12,4.05,2.03,44.97,16.39,8.17,0.72
6,ran.age,2,10.66,7.08,3.54,211.62,50.12,25.05,0.27
7,ran.age,3,7.05,5.16,2.60,89.40,26.61,13.30,0.72
8,ran.age,4,6.62,5.40,2.72,72.85,29.18,14.59,0.78
9,ran.age,5,5.30,4.07,2.96,48.48,16.54,8.27,0.73
10,ran.age,All,6.95,5.07,2.55,88.91,25.74,12.87,0.65
11,ran.age.meth,2,10.64,6.89,3.44,213.53,47.46,23.72,0.25
12,ran.age.meth,3,7.29,5.46,2.80,94.37,29.82,14.91,0.71
13,ran.age.meth,4,6.64,5.34,2.67,73.84,28.52,14.26,0.78
14,ran.age.meth,5,5.52,4.30,3.05,52.13,18.47,9.23,0.72
15,ran.age.meth,All,7.08,5.21,2.61,91.86,27.15,13.57,0.64
